no,country,rate,count,region,subregion,year
116,Malawi,1.8,279,Africa,Eastern Africa,2012
117,Malaysia,2.3,652,Asia,South-Eastern Asia,2012
118,Maldives,3.9,13,Asia,Southern Asia,2012
119,Mali,7.5,1119,Africa,Western Africa,2012
120,Malta,2.8,12,Europe,Southern Europe,2012
121,Martinique (France),2.7,11,Americas,Caribbean ,2009
122,Mauritania,5,191,Africa,Western Africa,2012
123,Mauritius,2.8,34,Africa,Eastern Africa,2011
124,Mayotte (France),6,12,Africa,Eastern Africa,2009
125,Mexico,21.5,2637,Americas,Central America,2012
126,Micronesia,4.6,5,Oceania,Micronesia ,2012
127,Moldova,5,169,Europe,Eastern Europe,2013
128,Monaco,0,0,Europe,Western Europe,2008
129,Mongolia,9.7,266,Asia,Eastern Asia,2011
130,Montenegro,2.7,17,Europe,Southern Europe,2012
131,Montserrat (UK),20.4,1,Americas,Caribbean ,2008
132,Morocco,2.2,704,Africa,Northern Africa,2012
133,Mozambique,12.4,3133,Africa,Eastern Africa,2012
134,Myanmar,15.2,844,Asia,South-Eastern Asia,2012
135,Namibia,17.2,388,Africa,Southern Africa,2012
136,Nauru,1.3,,Oceania,Micronesia ,2012
137,Nepal,2.9,786,Asia,Southern Asia,2011
138,Netherlands,0.9,145,Europe,Western Europe,2012
139,New Caledonia (France),3.3,8,Oceania,Melanesia ,2009
140,New Zealand,0.9,41,Oceania,Australasia ,2012
141,Nicaragua,11.3,675,Americas,Central America,2012
142,Niger,4.7,803,Africa,Western Africa,2012
143,Nigeria,20,33817,Africa,Western Africa,2012
144,Niue,3.6,,Oceania,Polynesia ,2012
145,North Korea,5.2,1293,Asia,Eastern Asia,2012
146,Norway,2.2,111,Europe,Northern Europe,2011
147,Oman,1.1,34,Asia,Western Asia,2011
148,Pakistan,7.7,13846,Asia,Southern Asia,2012
149,Palau,3.1,,Oceania,Micronesia ,2012
150,Palestine,7.4,312,Asia,Western Asia,2012
151,Panama,17.2,654,Americas,Central America,2012
152,Papua New Guinea,10.4,713,Oceania,Melanesia ,2010
153,Paraguay,9.7,649,Americas,South America,2012
154,Peru,9.6,2865,Americas,South America,2012
155,Philippines,8.8,8484,Asia,South-Eastern Asia,2012
156,Poland,0.8,298,Europe,Eastern Europe,2013
157,Portugal,1.2,122,Europe,Southern Europe,2012
158,Puerto Rico (US),26.5,978,Americas,Caribbean ,2012
159,Qatar,1.1,23,Asia,Western Asia,2012
160,Romania,1.5,336,Europe,Eastern Europe,2013
161,Russia,9,12785,Europe,Eastern Europe,2013
162,Rwanda,23.1,2648,Africa,Eastern Africa,2012
163,Réunion (France),1.8,15,Africa,Eastern Africa,2009
164,Saint Kitts and Nevis,33.6,18,Americas,Caribbean ,2012
165,Saint Lucia,21.6,39,Americas,Caribbean ,2012
166,Saint Pierre and Miquelon (France),16.5,1,Americas,Northern America,2009
167,Saint Vincent and the Grenadines,25.6,28,Americas,Caribbean ,2012
168,Samoa,3.6,7,Oceania,Polynesia ,2012
169,San Marino,0.7,,Europe,Southern Europe,2012
170,Sao Tome and Principe,3.3,6,Africa,Middle Africa,2011
171,Saudi Arabia,0.8,234,Asia,Western Asia,2012
172,Senegal,2.8,379,Africa,Western Africa,2012
173,Serbia,1.2,111,Europe,Southern Europe,2012
174,Seychelles,9.5,9,Africa,Eastern Africa,2012
175,Sierra Leone,1.9,113,Africa,Western Africa,2012
176,Singapore,0.2,11,Asia,South-Eastern Asia,2012
177,Slovakia,1.4,78,Europe,Eastern Europe,2013
178,Slovenia,0.7,14,Europe,Southern Europe,2012
179,Solomon Islands,4.3,24,Oceania,Melanesia ,2012
180,Somalia,8,819,Africa,Eastern Africa,2012
181,South Africa,31,16259,Africa,Southern Africa,2012
182,South Korea,0.9,427,Asia,Eastern Asia,2011
183,South Sudan,13.9,1504,Africa,Eastern Africa,2012
184,Spain,0.8,364,Europe,Southern Europe,2012
185,Sri Lanka,3.4,707,Asia,Southern Asia,2011
186,Sudan,11.2,4159,Africa,Northern Africa,2012
187,Suriname,6.1,33,Americas,South America,2012
188,Swaziland,33.8,416,Africa,Southern Africa,2012
189,Sweden,0.7,68,Europe,Northern Europe,2012
190,Switzerland,0.6,46,Europe,Western Europe,2011
191,Syria,2.2,463,Asia,Western Asia,2010
192,Taiwan,3,686,Asia,Eastern Asia,2011
193,Tajikistan,1.6,126,Asia,Central Asia,2011
194,Tanzania,12.7,6071,Africa,Eastern Africa,2012
195,Thailand,5,3307,Asia,South-Eastern Asia,2011
196,Timor-Leste,3.6,39,Asia,South-Eastern Asia,2010
197,Togo,10.3,684,Africa,Western Africa,2012
198,Tonga,1,1,Oceania,Polynesia ,2012
199,Trinidad and Tobago,28.3,379,Americas,Caribbean ,2012
200,Tunisia,2.2,235,Africa,Northern Africa,2012
201,Turkey,2.6,1886,Asia,Western Asia,2011
202,Turkmenistan,12.8,660,Asia,Central Asia,2012
203,Turks and Caicos Islands (UK),6.6,2,Americas,Caribbean ,2009
204,Tuvalu,4.2,,Oceania,Polynesia ,2012
205,Uganda,10.7,3753,Africa,Eastern Africa,2011
206,Ukraine,4.3,1988,Europe,Eastern Europe,2010
207,United Arab Emirates,2.6,235,Asia,Western Asia,2012
208,United Kingdom,1,653,Europe,Northern Europe,2011
209,United States,3.8,122535,Americas,Northern America,2013
210,United States Virgin Islands (US),52.6,56,Americas,Caribbean ,2010
211,Uruguay,7.9,267,Americas,South America,2012
212,Uzbekistan,3.7,1060,Asia,Central Asia,2012
213,Vanuatu,2.9,7,Oceania,Melanesia ,2012
214,Venezuela,53.7,16072,Americas,South America,2012
215,Vietnam,3.3,3037,Asia,South-Eastern Asia,2012
216,Yemen,4.8,1099,Asia,Western Asia,2010
217,Zambia,10.7,1501,Africa,Eastern Africa,2012
218,Zimbabwe,10.6,1450,Africa,Eastern Africa,2012
