"country","gunOwnershipRate","homicideRate","grossNationalIncomePerCapita","HDIRank","HDIValue","homicideByFirearmRate","lifeExpectancyAtBirth","meanYearsOfSchooling","region","subregion"
"Cyprus",36.1,2,28633,32,0.85,0.46,80.2,11.6,"Asia","Western Asia"
"Czech Republic",16.3,0.9,26660,28,0.87,0.19,78.6,12.3,"Europe","Eastern Europe"
"Denmark",12,0.8,44025,4,0.923,0.27,80.2,12.7,"Europe","Northern Europe"
"Djibouti",2.8,10.1,3276,168,0.47,NA,62,3.8,"Africa","Eastern Africa"
"Dominican Republic",5.1,22.1,11883,101,0.715,16.3,73.5,7.6,"Americas","Caribbean "
"Ecuador",1.3,12.4,10605,88,0.732,12.73,75.9,7.6,"Americas","South America"
"Egypt",3.5,3.4,10512,108,0.69,0.57,71.1,6.6,"Africa","Northern Africa"
"El Salvador",5.8,41.2,7349,116,0.666,39.9,73,6.5,"Americas","Central America"
"Equatorial Guinea",19.9,19.3,21056,138,0.587,NA,57.6,5.5,"Africa","Middle Africa"
"Eritrea",0.5,7.1,1130,186,0.391,NA,63.7,3.9,"Africa","Eastern Africa"
"Estonia",9.2,5,25214,30,0.861,0.24,76.8,12.5,"Europe","Northern Europe"
"Ethiopia",0.4,12,1428,174,0.442,NA,64.1,2.4,"Africa","Eastern Africa"
"Fiji",0.5,4,7493,90,0.727,NA,70,9.9,"Oceania","Melanesia "
"Finland",29.1,1.6,38695,24,0.883,0.45,80.8,10.3,"Europe","Northern Europe"
"France",31.2,1,38056,22,0.888,0.06,82.2,11.1,"Europe","Western Europe"
"Gabon",14,9.1,16367,110,0.684,NA,64.4,7.8,"Africa","Middle Africa"
"Gambia",0.8,10.2,1507,175,0.441,NA,60.2,2.8,"Africa","Western Africa"
"Georgia",7.3,4.3,7164,76,0.754,0.55,74.9,12.1,"Asia","Western Asia"
"Germany",30.3,0.8,43919,6,0.916,0.19,80.9,13.1,"Europe","Western Europe"
"Ghana",0.4,6.1,3852,140,0.579,NA,61.4,7,"Africa","Western Africa"
"Greece",22.5,1.7,24524,29,0.865,0.26,80.9,10.3,"Europe","Southern Europe"
"Guatemala",13.1,39.9,6929,128,0.627,34.81,71.8,5.6,"Americas","Central America"
"Guinea",1.2,8.9,1096,182,0.411,NA,58.8,2.4,"Africa","Western Africa"
"Guinea-Bissau",1.6,8.4,1362,178,0.42,NA,55.2,2.8,"Africa","Western Africa"
"Guyana",14.6,17,6522,124,0.636,11.46,66.4,8.5,"Americas","South America"
"Haiti",0.6,10.2,1669,163,0.483,NA,62.8,4.9,"Americas","Caribbean "
"Honduras",6.2,90.4,3938,131,0.606,68.43,73.1,5.5,"Americas","Central America"
"Hungary",5.5,2.7,22916,44,0.828,0.07,75.2,11.6,"Europe","Eastern Europe"
"Iceland",30.3,0.3,35182,16,0.899,0,82.6,10.6,"Europe","Northern Europe"
"India",4.2,3.5,5497,130,0.609,0.26,68,5.4,"Asia","Southern Asia"
"Indonesia",0.5,0.6,9788,110,0.684,NA,68.9,7.6,"Asia","South-Eastern Asia"
"Iran",7.3,3.9,15440,69,0.766,NA,75.4,8.2,"Asia","Southern Asia"
"Iraq",34.2,8,14003,121,0.654,NA,69.4,6.4,"Asia","Western Asia"
"Ireland",4.3,1.2,39568,6,0.916,0.48,80.9,12.2,"Europe","Northern Europe"
"Israel",7.3,1.8,30676,18,0.894,0.09,82.4,12.5,"Asia","Western Asia"
"Italy",11.9,0.9,33030,27,0.873,0.71,83.1,10.1,"Europe","Southern Europe"
"Jamaica",8.1,39.3,7415,99,0.719,39.4,75.7,9.7,"Americas","Caribbean "
"Japan",0.6,0.3,36927,20,0.891,0.01,83.5,11.5,"Asia","Eastern Asia"
"Jordan",11.5,2,11365,80,0.748,0.49,74,9.9,"Asia","Western Asia"
"Kazakhstan",1.3,7.8,20867,56,0.788,1.34,69.4,11.4,"Asia","Central Asia"
"Kenya",6.4,6.4,2762,145,0.548,NA,61.6,6.3,"Africa","Eastern Africa"
"Kuwait",24.8,0.4,83961,48,0.816,NA,74.4,7.2,"Asia","Western Asia"
"Kyrgyzstan",0.9,9.1,3044,120,0.655,0.54,70.6,10.6,"Asia","Central Asia"
"Latvia",19,4.7,22281,46,0.819,0.22,74.2,11.5,"Europe","Northern Europe"
"Lebanon",21,2.2,16509,67,0.769,0.76,79.3,7.9,"Asia","Western Asia"
"Lesotho",2.7,38,3306,161,0.497,NA,49.8,5.9,"Africa","Southern Africa"
"Liberia",1.6,3.2,805,177,0.43,0.43,60.9,4.1,"Africa","Western Africa"
"Libya",15.5,1.7,14911,94,0.724,NA,71.6,7.3,"Africa","Northern Africa"
"Lithuania",0.7,6.7,24500,37,0.839,0.18,73.3,12.4,"Europe","Northern Europe"
"Luxembourg",15.3,0.8,58711,19,0.892,0.62,81.7,11.7,"Europe","Western Europe"
"Macedonia",24.1,1.4,11780,81,0.747,1.21,75.4,9.3,"Europe","Southern Europe"
"Madagascar",0.8,11.1,1328,154,0.51,NA,65.1,6,"Africa","Eastern Africa"
"Malawi",0.7,1.8,747,173,0.445,NA,62.8,4.3,"Africa","Eastern Africa"
"Malaysia",1.5,2.3,22762,62,0.779,0.24,74.7,10,"Asia","South-Eastern Asia"
"Maldives",6.5,3.9,12328,104,0.706,1.63,76.8,5.8,"Asia","Southern Asia"
"Mali",1.1,7.5,1583,179,0.419,NA,58,2,"Africa","Western Africa"
"Malta",11.9,2.8,27930,37,0.839,0,80.6,10.3,"Europe","Southern Europe"
"Mauritania",1.6,5,3560,156,0.506,NA,63.1,3.8,"Africa","Western Africa"
"Mauritius",14.7,2.8,17470,63,0.777,0.1,74.4,8.5,"Africa","Eastern Africa"
"Mexico",15,21.5,16056,74,0.756,9.97,76.8,8.5,"Americas","Central America"
"Moldova",7.1,5,5223,107,0.693,0.22,71.6,11.2,"Europe","Eastern Europe"
"Mongolia",1.9,9.7,10729,90,0.727,0.11,69.4,9.3,"Asia","Eastern Asia"
"Montenegro",23.1,2.7,14558,49,0.802,NA,76.2,11.2,"Europe","Southern Europe"
"Morocco",5,2.2,6850,126,0.628,NA,74,4.4,"Africa","Northern Africa"
"Mozambique",5.1,12.4,1123,180,0.416,NA,55.1,3.2,"Africa","Eastern Africa"
"Namibia",12.6,17.2,9418,126,0.628,NA,64.8,6.2,"Africa","Southern Africa"
"Nepal",0.8,2.9,2311,145,0.548,0.3,69.6,3.3,"Asia","Southern Asia"
"Netherlands",3.9,0.9,45435,5,0.922,0.33,81.6,11.9,"Europe","Western Europe"
"New Zealand",22.6,0.9,32689,9,0.913,0.16,81.8,12.5,"Oceania","Australasia "
"Nicaragua",7.7,11.3,4457,125,0.631,5.92,74.9,6,"Americas","Central America"
"Niger",0.7,4.7,908,188,0.348,NA,61.4,1.5,"Africa","Western Africa"
"Nigeria",1.5,20,5341,152,0.514,NA,52.8,5.9,"Africa","Western Africa"
"Norway",31.3,2.2,64992,1,0.944,0.05,81.6,12.6,"Europe","Northern Europe"
"Oman",25.5,1.1,34858,52,0.793,NA,76.8,8,"Asia","Western Asia"
"Pakistan",11.6,7.7,4866,147,0.538,NA,66.2,4.7,"Asia","Southern Asia"
"Panama",21.7,17.2,18192,60,0.78,16.18,77.6,9.3,"Americas","Central America"
"Papua New Guinea",1.2,10.4,2463,158,0.505,NA,62.6,4,"Oceania","Melanesia "
"Paraguay",17,9.7,7643,112,0.679,7.35,72.9,7.7,"Americas","South America"
"Peru",18.8,9.6,11015,84,0.734,2.63,74.6,9,"Americas","South America"
"Philippines",4.7,8.8,7915,115,0.668,8.93,68.2,8.9,"Asia","South-Eastern Asia"
"Poland",1.3,0.8,23177,36,0.843,0.09,77.4,11.8,"Europe","Eastern Europe"
"Portugal",8.5,1.2,25757,43,0.83,0.41,80.9,8.2,"Europe","Southern Europe"
"Qatar",19.2,1.1,123124,32,0.85,0.14,78.2,9.1,"Asia","Western Asia"
"Romania",0.7,1.5,18108,52,0.793,0.02,74.7,10.8,"Europe","Eastern Europe"
"Russia",8.9,9,22352,50,0.798,NA,70.1,12,"Europe","Eastern Europe"
"Rwanda",0.6,23.1,1458,163,0.483,NA,64.2,3.7,"Africa","Eastern Africa"
"Saudi Arabia",35,0.8,52821,39,0.837,NA,74.3,8.7,"Asia","Western Asia"
"Senegal",2,2.8,2188,170,0.466,NA,66.5,2.5,"Africa","Western Africa"
"Serbia",69.7,1.2,12190,66,0.771,0.46,74.9,10.5,"Europe","Southern Europe"
"Seychelles",5.4,9.5,23300,64,0.772,NA,73.1,9.4,"Africa","Eastern Africa"
"Sierra Leone",0.6,1.9,1780,181,0.413,2.28,50.9,3.1,"Africa","Western Africa"
"Singapore",0.5,0.2,76628,11,0.912,0.02,83,10.6,"Asia","South-Eastern Asia"
"Slovakia",8.3,1.4,25845,35,0.844,0.18,76.3,12.2,"Europe","Eastern Europe"
"Slovenia",13.5,0.7,27852,25,0.88,0.1,80.4,11.9,"Europe","Southern Europe"
"Solomon Islands",0.4,4.3,1540,156,0.506,0,67.9,5,"Oceania","Melanesia "
"South Africa",12.7,31,12122,116,0.666,17.03,57.4,9.9,"Africa","Southern Africa"
"Spain",10.4,0.8,32045,26,0.876,0.2,82.6,9.6,"Europe","Southern Europe"
"Sri Lanka",1.5,3.4,9779,73,0.757,1.48,74.9,10.8,"Asia","Southern Asia"
"Sudan",5.5,11.2,3809,167,0.479,NA,63.5,3.1,"Africa","Northern Africa"
"Suriname",13.4,6.1,15617,103,0.714,NA,71.1,7.7,"Americas","South America"
"Swaziland",6.4,33.8,5542,150,0.531,NA,49,7.1,"Africa","Southern Africa"
"Sweden",31.6,0.7,45636,14,0.907,0.41,82.2,12.1,"Europe","Northern Europe"
